datetime,AREXQ,WLL,cash,commission,total,returns,equity_curve,drawdown
2013-11-08 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-11 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2013-11-12 00:00:00,2342.0,-2830.959835,100444.479989,2.6,99955.520154,-0.00044479846000000656,0.99955520154,0.00044479846000000656
2013-11-13 00:00:00,2382.0,-2889.040165,100444.479989,2.6,99937.439824,-0.0001808837568164634,0.99937439824,0.0006256017600000385
2013-11-14 00:00:00,2387.9999,-2897.840022,100444.479989,2.6,99934.63986699999,-2.8017097545629532e-05,0.9993463986699999,0.000653601330000142
2013-11-15 00:00:00,2351.0,-2860.0,100444.479989,2.6,99935.479989,8.406714639974666e-06,0.99935479989,0.0006452001100000215
2013-11-18 00:00:00,2343.0,-2708.1999670000005,100444.479989,2.6,100079.28002199999,0.0014389287269729323,1.00079280022,0.0
2013-11-19 00:00:00,2292.0,-2677.399934,100444.479989,2.6,100059.080055,-0.000201839651479796,1.0005908005500002,0.00020199966999978614
2013-11-20 00:00:00,2280.9999,-2671.239956,100444.479989,2.6,100054.23993299999,-4.83726414168828e-05,1.0005423993300002,0.00025040088999972454
2013-11-21 00:00:00,2351.0,-2775.5200769999997,100444.479989,2.6,100019.959912,-0.00034261437619176327,1.0001995991200003,0.0005932010999996074
2013-11-22 00:00:00,2295.9999,-2774.640055,100444.479989,2.6,99965.839834,-0.0005410927783576769,0.9996583983400003,0.0011344018799996913
2013-11-25 00:00:00,2182.0,-2655.840022,100444.479989,2.6,99970.639967,4.801773293716671e-05,0.9997063996700002,0.0010864005499997553
2013-11-26 00:00:00,2128.0001,-2724.9200109999997,100444.479989,2.6,99847.56007800001,-0.0012311603590875464,0.9984756007800003,0.00231719943999964
2013-11-27 00:00:00,2108.0,-2658.4799230000003,100444.479989,2.6,99894.000066,0.0004651088916314272,0.9989400006600001,0.0018527995599998404
2013-11-29 00:00:00,2119.0001,-2657.600066,100444.479989,2.6,99905.880023,0.00011892563109050514,0.9990588002300002,0.0017339999899997904
2013-12-02 00:00:00,2034.0,-2628.1199779999997,100444.479989,2.6,99850.360011,-0.0005557231665166418,0.9985036001100001,0.0022892001099998893
2013-12-03 00:00:00,2032.9999999999998,-2654.0799890000003,100444.479989,2.6,99823.4,-0.00027000414417166496,0.9982340000000001,0.0025588002199998794
2013-12-04 00:00:00,2042.0000000000002,-2694.1199779999997,100444.479989,2.6,99792.360011,-0.0003109490259798342,0.9979236001100001,0.0028692001099998032
2013-12-05 00:00:00,1993.0,-2680.0399890000003,100444.479989,2.6,99757.44,-0.00034992669775668617,0.9975744000000002,0.003218400219999751
2013-12-06 00:00:00,1923.9999999999998,-2583.680055,100444.479989,2.6,99784.799934,0.0002742645962043877,0.99784799934,0.0029448008799999315
2013-12-09 00:00:00,1930.9998999999998,-2561.680055,100444.479989,2.6,99813.79983399999,0.0002906244239520017,0.9981379983399998,0.0026548018800001127
2013-12-10 00:00:00,1954.0001,-2584.560077,100444.479989,2.6,99813.920012,1.2040218908548894e-06,0.9981392001199999,0.002653600100000042
2013-12-11 00:00:00,1903.0001000000002,-2549.359945,100444.479989,2.6,99798.120144,-0.0001582932320272068,0.9979812014399999,0.0028115987800000353
2013-12-12 00:00:00,1930.9998999999998,-2600.399934,100444.479989,2.6,99775.079955,-0.00023086796591720304,0.9977507995499999,0.0030420006700000446
2013-12-13 00:00:00,1934.0,-2596.8800220000003,100444.479989,2.6,99781.599967,6.534709872396682e-05,0.99781599967,0.002976800549999936
2013-12-16 00:00:00,1909.0,-2665.9600109999997,100444.479989,2.6,99687.519978,-0.0009428590945737003,0.99687519978,0.003917600439999891
2013-12-17 00:00:00,1918.0,-2658.4799230000003,100444.479989,2.6,99704.000066,0.00016531746404790937,0.99704000066,0.003752799559999964
